user_id,song_id,timestamp
62,38,2023-03-30 11:35:22
32,19,2023-11-16 02:56:48
42,38,2023-12-27 08:16:26
66,2,2023-12-15 22:44:58
64,39,2023-08-30 19:11:59
58,6,2023-04-26 14:05:47
30,9,2023-12-30 19:06:32
90,2,2023-03-27 20:14:41
52,11,2023-09-25 01:48:49
14,10,2023-12-27 16:58:03
61,50,2023-07-12 01:15:54
62,23,2023-09-18 20:41:03
6,20,2023-01-27 14:26:58
58,15,2023-06-08 17:30:55
24,20,2023-02-11 10:30:03
28,26,2023-10-01 10:49:32
99,16,2023-03-22 01:58:25
28,10,2023-07-07 06:34:58
62,29,2023-02-27 14:24:31
58,12,2023-03-17 17:52:43
88,2,2023-11-05 13:17:52
73,47,2023-11-29 03:14:05
23,24,2023-01-26 09:14:02
90,40,2023-10-22 22:02:37
41,49,2023-04-02 14:15:32
84,47,2023-08-29 13:33:07
46,17,2023-08-10 10:12:04
58,26,2023-10-08 12:47:45
4,10,2023-11-15 11:26:42
2,25,2023-07-20 13:06:27
35,2,2023-03-09 13:41:07
17,40,2023-07-02 15:27:27
38,1,2023-09-25 00:22:03
54,9,2023-03-15 11:43:56
30,21,2023-06-09 00:38:27
99,40,2023-02-18 04:13:37
100,15,2023-07-27 10:51:43
56,47,2023-06-21 23:14:53
9,4,2023-12-27 08:42:17
30,7,2023-01-24 11:40:39
17,20,2023-03-02 17:00:40
50,14,2023-10-18 04:35:10
94,43,2023-04-22 08:43:42
22,8,2023-09-26 04:34:56
16,38,2023-11-05 10:28:30
54,42,2023-07-08 13:54:28
11,12,2023-06-17 17:10:44
74,20,2023-08-04 10:51:20
2,1,2023-11-19 07:54:04
41,34,2023-07-07 14:06:01
4,41,2023-08-13 18:21:58
74,41,2023-11-07 11:02:03
22,24,2023-12-21 11:58:49
99,8,2023-05-02 03:04:05
72,35,2023-03-05 12:37:39
18,16,2023-06-11 06:51:15
46,14,2023-08-16 10:33:18
84,43,2023-07-12 12:39:39
65,16,2023-10-07 19:59:32
44,6,2023-07-19 07:13:09
74,12,2023-05-26 11:29:02
92,43,2023-07-03 16:43:56
5,25,2023-03-10 11:57:37
76,39,2023-07-01 20:20:27
20,17,2023-10-05 06:51:45
34,43,2023-05-08 17:34:52
43,18,2023-05-25 08:40:35
46,40,2023-04-27 08:41:06
4,16,2023-06-16 07:36:10
98,43,2023-06-12 01:20:40
23,5,2023-01-24 02:08:28
71,43,2023-12-30 05:11:51
61,19,2023-11-29 22:00:47
14,46,2023-03-24 13:48:08
65,42,2023-09-30 16:08:56
84,12,2023-07-07 12:07:33
87,7,2023-03-31 18:21:26
41,34,2023-09-01 16:28:44
27,47,2023-08-29 05:20:04
40,12,2023-06-07 16:44:50
93,40,2023-03-15 23:55:07
38,31,2023-11-09 19:58:47
